1. karedeki hiz: 0.000 
2. karedeki hiz: -0.025 m/s 
3. karedeki hiz: -0.099 m/s 
4. karedeki hiz: -0.192 m/s 
5. karedeki hiz: -0.268 m/s 
6. karedeki hiz: -0.372 m/s 
7. karedeki hiz: -0.486 m/s 
8. karedeki hiz: -0.586 m/s 
9. karedeki hiz: -0.692 m/s 
10. karedeki hiz: -0.785 m/s 
11. karedeki hiz: -0.890 m/s 
12. karedeki hiz: -0.998 m/s 
13. karedeki hiz: -1.095 m/s 
14. karedeki hiz: -1.207 m/s 
15. karedeki hiz: -1.301 m/s 
16. karedeki hiz: -1.390 m/s 
17. karedeki hiz: -1.497 m/s 
18. karedeki hiz: -1.603 m/s 
19. karedeki hiz: -1.709 m/s 
20. karedeki hiz: -1.801 m/s 
21. karedeki hiz: -1.895 m/s 
22. karedeki hiz: -1.988 m/s 
23. karedeki hiz: -2.075 m/s 
24. karedeki hiz: -2.179 m/s 
25. karedeki hiz: -2.267 m/s 
26. karedeki hiz: -2.358 m/s 
27. karedeki hiz: -2.447 m/s 
28. karedeki hiz: -2.529 m/s 
29. karedeki hiz: -2.598 m/s 
