1. karedeki hiz: 0.000 
2. karedeki hiz: -0.052 m/s 
3. karedeki hiz: -0.194 m/s 
4. karedeki hiz: -0.381 m/s 
5. karedeki hiz: -0.545 m/s 
6. karedeki hiz: -0.748 m/s 
7. karedeki hiz: -0.971 m/s 
8. karedeki hiz: -1.171 m/s 
9. karedeki hiz: -1.378 m/s 
10. karedeki hiz: -1.575 m/s 
11. karedeki hiz: -1.780 m/s 
12. karedeki hiz: -1.990 m/s 
13. karedeki hiz: -2.194 m/s 
14. karedeki hiz: -2.412 m/s 
15. karedeki hiz: -2.598 m/s 
16. karedeki hiz: -2.783 m/s 
17. karedeki hiz: -2.998 m/s 
18. karedeki hiz: -3.205 m/s 
19. karedeki hiz: -3.416 m/s 
20. karedeki hiz: -3.604 m/s 
21. karedeki hiz: -3.790 m/s 
22. karedeki hiz: -3.976 m/s 
23. karedeki hiz: -4.153 m/s 
24. karedeki hiz: -4.355 m/s 
25. karedeki hiz: -4.535 m/s 
26. karedeki hiz: -4.718 m/s 
27. karedeki hiz: -4.891 m/s 
28. karedeki hiz: -5.054 m/s 
29. karedeki hiz: -5.199 m/s 
30. karedeki hiz: -5.502 m/s 
